NAME	TITLE	SCORE	
TMCO1	n/a	0.98470837	
DPM2	n/a	0.98432934	
U2AF2	n/a	0.98412853	
OR2B6	n/a	0.98392093	
TRMU	n/a	0.9838425	
TPRN	n/a	0.9837191	
WBP11	n/a	0.9836856	
UBE2Q1	n/a	0.9833188	
GTPBP5	n/a	0.9832935	
KIAA0406	n/a	0.9827415	
YDJC	n/a	0.98259574	
TBL3	n/a	0.9825704	
NUDCD1	n/a	0.9821261	
STIP1	n/a	0.9820767	
CLPS	n/a	0.98198795	
HOXC11	n/a	0.98172885	
PSMC2	n/a	0.98136616	
SLAMF8	n/a	0.98101145	
TMEM54	n/a	0.9804423	
SLMO1	n/a	0.9802522	
SLC7A5	n/a	0.9801066	
ERP27	n/a	0.9801056	
MRTO4	n/a	0.97994286	
C12orf41	n/a	0.9796627	
TSSC1	n/a	0.9791621	
FLVCR1	n/a	0.97907096	
RUVBL2	n/a	0.9787842	
FARSA	n/a	0.9786659	
DOC2A	n/a	0.9784906	
UTP18	n/a	0.97828364	
SMARCA4	n/a	0.9782102	
RNASEN	n/a	0.9779333	
RNF32	n/a	0.97770154	
ATAD5	n/a	0.97753835	
CCDC120	n/a	0.97743833	
CHAF1A	n/a	0.9772248	
FBXO41	n/a	0.9769942	
GUCA1A	n/a	0.9768271	
C19orf46	n/a	0.9767907	
CHTF18	n/a	0.97673404	
WDR54	n/a	0.97621095	
MAST2	n/a	0.9759112	
RAD1	n/a	0.9749755	
SEC61G	n/a	0.97445	
BEAN	n/a	0.9743048	
DGCR9	n/a	0.97391796	
TGIF2	n/a	0.9732241	
IGSF9	n/a	0.9729701	
CSK	n/a	0.9728788	
IKBKE	n/a	0.97208506	
PLK1	n/a	0.9718286	
CENPI	n/a	0.9712622	
RPL39L	n/a	0.97007495	
HIST2H2BF	n/a	0.9697252	
TFAP4	n/a	0.9695123	
TMEM223	n/a	0.96934366	
DSN1	n/a	0.9687888	
GLIS3	n/a	0.96875036	
CILP2	n/a	0.9681234	
ZMYND19	n/a	0.96794313	
SMG7	n/a	0.9678877	
BMP8A	n/a	0.9677464	
SAP30	n/a	0.9676965	
CASP3	n/a	0.9675831	
IL4I1	n/a	0.967532	
