id	Normal	Tumor
SNORA10	0	1.61200292800195
C19orf2	4222.62294492496	5665.35761376183
MGC27382	1.4556801750931	0
TARDBP	7979.27526274652	9997.1191580776
LGALS4	11.5830763512665	4.52319004142552
MYL6B	809.178111756014	1136.48748585578
RCAN3	252.010574094793	406.993895882895
GNB5	1147.79402457255	794.55787775993
TMEM120B	1551.09856574199	1067.35486300977
INPP5F	1406.664985551	1800.34816812256
TBKBP1	752.603514734265	508.773152741207
TUBB2C	8744.08961421819	11646.0859207575
EIF2B2	1253.50361787267	1827.04395573393
SPATA2	983.795742829735	1521.86113455203
NTNG2	25.739939751658	45.5627518768005
THAP8	237.640409414191	367.208731025853
C17orf106	486.43663696403	895.335016990531
LRRC55	32.8715927181728	56.5484370784669
C17orf90	469.299041492048	670.404510646839
C2orf62	1.48493238684515	6.82778290125611
SF3B5	2437.68011722337	3637.00245620385
LOC375190	381.955566360761	245.795457782362
C1orf203	201.440526461297	128.043580640081
NLN	847.625306352958	1210.84254260209
LEKR1	36.1597213439555	74.2140201978271
SEL1L2	4.02186546759587	1.25023986351438
RBM19	1300.49579704678	1745.43013492065
COG7	1384.97173713958	1946.14428076211
EMR1	24.787086968582	60.7582027434625
STX2	1172.16765148327	749.29316415439
XRCC5	16563.8427632855	23839.5513288011
MKRN2	2081.76099655484	1670.9157283404
SLC45A1	128.269886484833	216.979344961126
TMEM74	16.895949644382	43.5314696008155
HOXB2	928.676991169188	1771.58452682775
DNAJC17	444.197601977333	739.63242631253
TMEM55B	1341.65077665736	993.226938902219
CDC37L1	1531.74046089455	1041.16871185367
TSC22D4	1800.37597222441	2449.40509305797
PSTK	104.118105284411	154.112149537492
ZCCHC7	1052.49084526684	1588.24099879545
POLR3F	731.109145575823	942.967182755841
NEUROG3	1.62920662953651	0.185455513891327
ZNF574	907.54477678321	1349.9241759987
LOC728643	87.3045474863756	138.663777743684
TGFB1	1719.66389147925	2585.70304687006
SLC20A2	2317.83937164403	3079.26911394999
LENG8	6353.95993513087	4290.25644698248
SENP3	2133.40546617047	3257.25753802888
GDAP1	643.556918801313	1064.79753036532
ZNF90	205.104674301208	366.924733207858
